DATE;SKU;Style;quantity;price;Category
30/08/2022;J0281-SKD-M;J0281;1;1494.35;Set
31/08/2022;J0281-SKD-L;J0281;1;1494.35;Set
01/09/2022;J0281-SKD-XL;J0281;1;1494.35;Set
02/09/2022;J0281-SKD-XXL;J0281;1;1494.35;Set
03/09/2022;J0281-SKD-XXXL;J0281;1;1494.35;Set
04/09/2022;J0285-SKD-XS;J0285;1;1494.35;Set
05/09/2022;J0285-SKD-S;J0285;1;1494.35;Set
06/09/2022;J0285-SKD-M;J0285;1;1494.35;Set
07/09/2022;J0285-SKD-L;J0285;1;1494.35;Set
08/09/2022;J0285-SKD-XL;J0285;1;1494.35;Set
09/09/2022;J0285-SKD-XXL;J0285;1;1494.35;Set
10/09/2022;J0285-SKD-XXXL;J0285;1;1494.35;Set
11/09/2022;JNE3615-KR-XS;JNE3615;1;454.35;kurta
12/09/2022;JNE3615-KR-S;JNE3615;1;454.35;kurta
13/09/2022;JNE3615-KR-M;JNE3615;1;454.35;kurta
14/09/2022;JNE3615-KR-L;JNE3615;1;454.35;kurta
15/09/2022;JNE3615-KR-XL;JNE3615;1;454.35;kurta
16/09/2022;JNE3615-KR-XXL;JNE3615;1;454.35;kurta
17/09/2022;JNE3615-KR-XXXL;JNE3615;1;454.35;kurta
18/09/2022;JNE3619-KR-XS;JNE3619;1;486.85;kurta
19/09/2022;JNE3619-KR-S;JNE3619;1;486.85;kurta
20/09/2022;JNE3619-KR-M;JNE3619;1;486.85;kurta
21/09/2022;JNE3619-KR-L;JNE3619;1;486.85;kurta
22/09/2022;JNE3619-KR-XL;JNE3619;1;486.85;kurta
23/09/2022;JNE3619-KR-XXL;JNE3619;1;486.85;kurta
24/09/2022;JNE3619-KR-XXXL;JNE3619;1;486.85;kurta
25/09/2022;NW005-ST-PJ-L;NW005;1;811.85;Set
26/09/2022;NW005-ST-PJ-XL;NW005;1;811.85;Set
27/09/2022;NW006-ST-SR-L;NW006;1;811.85;Set
28/09/2022;NW013-ST-SR-L;NW013;1;649.35;Set
29/09/2022;NW031-TP-PJ-XL;NW031;1;779.35;Set
30/09/2022;NW032-ST-CP-L;NW032;1;779.35;Set
01/10/2022;SET217-KR-PP-XS;SET217;1;1071.85;Set
02/10/2022;SET217-KR-PP-S;SET217;1;1071.85;Set
03/10/2022;SET217-KR-PP-M;SET217;1;1071.85;Set
04/10/2022;SET217-KR-PP-L;SET217;1;1071.85;Set
05/10/2022;SET217-KR-PP-XL;SET217;1;1071.85;Set
06/10/2022;SET217-KR-PP-XXL;SET217;1;1071.85;Set
07/10/2022;SET217-KR-PP-XXXL;SET217;1;1071.85;Set
08/10/2022;SET220-KR-PP-M;SET220;1;1136.85;Set
09/10/2022;SET220-KR-PP-XXL;SET220;1;1136.85;Set
10/10/2022;SET220-KR-PP-L;SET220;1;1136.85;Set
11/10/2022;SET220-KR-PP-XL;SET220;1;1136.85;Set
12/10/2022;SET220-KR-PP-XXXL;SET220;1;1136.85;Set
13/10/2022;SET220-KR-PP-XS;SET220;1;1136.85;Set
14/10/2022;SET220-KR-PP-S;SET220;1;1136.85;Set
15/10/2022;SET058-KR-NP-L;SET058;1;844.35;Set
16/10/2022;J0241-SKD-L;J0241;1;1299.35;Set
17/10/2022;J0140-SET-XS;J0140;1;941.85;Set
18/10/2022;JNE3669-TU-S;JNE3669;1;486.85;Top
19/10/2022;SET182-KR-DH-M;SET182;1;779.35;Set
20/10/2022;J0239-SKD-XS;J0239;1;1364.35;Set
21/10/2022;J0241-SKD-XL;J0241;1;1299.35;Set
22/10/2022;JNE3710-DR-S;JNE3710;1;616.85;Western Dress
23/10/2022;JNE3629-KR-S;JNE3629;1;649.35;kurta
24/10/2022;J0037-KR-S;J0037;1;779.35;kurta
25/10/2022;J0243-DR-XS;J0243;1;1039.35;Ethnic Dress
26/10/2022;JNE2100-KR-144-M;JNE2100;1;454.35;kurta
27/10/2022;SET048-KR-NP-XXL;SET048;1;909.35;Set
28/10/2022;J0037-KR-M;J0037;1;779.35;kurta
29/10/2022;JNE3669-TU-XS;JNE3669;1;486.85;Top
30/10/2022;J0239-SKD-M;J0239;1;1364.35;Set
31/10/2022;SET182-KR-DH-XXL;SET182;1;779.35;Set
01/11/2022;JNE3710-DR-S;JNE3710;1;616.85;Western Dress
02/11/2022;J0244-SKD-M;J0244;1;1234.35;Set
03/11/2022;J0148-SET-XXXL;J0148;1;876.85;Set
04/11/2022;J0237-SKD-XXXL;J0237;1;1494.35;Set
05/11/2022;J0239-SKD-M;J0239;1;1364.35;Set
06/11/2022;J0143-SET-L;J0143;1;1039.35;Set
07/11/2022;J0161-DR-XS.;J0161;1;714.35;Western Dress
08/11/2022;J0186-SET-XS;J0186;1;1299.35;Set
09/11/2022;JNE2100-KR-144-M;JNE2100;1;454.35;kurta
10/11/2022;J0037-KR-S;J0037;1;779.35;kurta
11/11/2022;JNE2265-KR-501-S;JNE2265;1;454.35;kurta
12/11/2022;BL099-M;BL099;1;324.35;Blouse
13/11/2022;BL099-XL;BL099;1;324.35;Blouse
14/11/2022;BL103-M;BL103;2;389.35;Blouse
15/11/2022;BL104-L;BL104;1;421.85;Blouse
16/11/2022;BL104-S;BL104;1;421.85;Blouse
17/11/2022;BL104-XL;BL104;1;421.85;Blouse
18/11/2022;JNE3288-KR-XXXL;JNE3288;1;584.35;kurta
19/11/2022;JNE3405-KR-S;JNE3405;1;389.35;kurta
20/11/2022;JNE3439-KR-XL;JNE3439;1;421.85;kurta
21/11/2022;JNE3489-KR-S;JNE3489;1;389.35;kurta
22/11/2022;JNE3560-KR-XXXL;JNE3560;1;486.85;kurta
23/11/2022;JNE3612-KR-XS;JNE3612;1;519.35;kurta
24/11/2022;MEN5003-KR-XL;MEN5003;1;616.56;kurta
25/11/2022;MEN5005-KR-XXL;MEN5005;1;616.56;kurta
26/11/2022;MEN5014-KR-M;MEN5014;1;649.03;kurta
27/11/2022;MEN5014-KR-XL;MEN5014;2;649.03;kurta
28/11/2022;MEN5015-KR-XL;MEN5015;1;616.56;kurta
29/11/2022;MEN5016-KR-XL;MEN5016;1;649.03;kurta
30/11/2022;MEN5029-KR-XL;MEN5029;1;616.56;kurta
01/12/2022;J0178-TP-L;J0178;1;356.85;Top
02/12/2022;JNE3609-KR-M;JNE3609;1;551.85;kurta
03/12/2022;MEN5006-KR-L;MEN5006;1;649.03;kurta
04/12/2022;J0204-TP-XL;J0204;1;746.85;Top
05/12/2022;J0202-TP-XL;J0202;1;649.35;Top
06/12/2022;J0117-TP-XXL;J0117;1;421.85;Top
07/12/2022;J0115-TP-XXL;J0115;1;519.35;Top
08/12/2022;J0118-TP-XXL;J0118;1;421.85;Top
09/12/2022;J0140-SET-XXXL;J0140;1;941.85;Set
10/12/2022;SET236-KR-PP-XXXL;SET236;1;779.35;Set
11/12/2022;JNE3713-TP-L;JNE3713;1;421.85;Top
12/12/2022;SET196-KR-NP-M.;SET196;1;811.85;Set
13/12/2022;SET196-KR-NP-XL;SET196;1;811.85;Set
14/12/2022;SET260-KR-PP-L;SET260;1;811.85;Set
15/12/2022;SET260-KR-PP-XL;SET260;1;811.85;Set
16/12/2022;SET194-KR-NP-XL;SET194;1;714.35;Set
17/12/2022;SET194-KR-NP-XXXL;SET194;1;714.35;Set
18/12/2022;J0246-SKD-L;J0246;1;1234.35;Set
19/12/2022;J0242-SKD-XL;J0242;1;1234.35;Set
20/12/2022;J0242-SKD-XXXL;J0242;1;1234.35;Set
21/12/2022;J0239-SKD-M;J0239;1;1364.35;Set
22/12/2022;J0239-SKD-XL;J0239;1;1364.35;Set
23/12/2022;J0130-SET-M;J0130;1;974.35;Set
24/12/2022;J0130-SET-XL;J0130;1;974.35;Set
25/12/2022;J0130-SET-XXXL;J0130;1;974.35;Set
26/12/2022;SET268-KR-NP-S;SET268;1;811.85;Set
27/12/2022;SET268-KR-NP-M;SET268;1;811.85;Set
28/12/2022;SET268-KR-NP-L;SET268;1;811.85;Set
29/12/2022;SET268-KR-NP-XL;SET268;1;811.85;Set
30/12/2022;SET268-KR-NP-XXL;SET268;1;811.85;Set
31/12/2022;SET268-KR-NP-XXXL;SET268;1;811.85;Set
01/01/2023;SET263-KR-NP-S;SET263;1;779.35;Set
02/01/2023;SET262-KR-NP-S;SET262;1;844.35;Set
03/01/2023;SET229-KR-PP-S;SET229;1;941.85;Set
04/01/2023;JNE3605-KR-S;JNE3605;1;454.35;kurta
05/01/2023;J0279-SET-S;J0279;1;1039.35;Set
06/01/2023;J0138-KR-S;J0138;1;649.35;kurta
07/01/2023;J0148-SET-S;J0148;1;876.85;Set
08/01/2023;J0207-DR-S;J0207;1;811.85;Western Dress
09/01/2023;MEN5029-KR-M;MEN5029;1;616.56;kurta
10/01/2023;MEN5008-KR-M;MEN5008;1;616.56;kurta
11/01/2023;MEN5003-KR-M;MEN5003;1;616.56;kurta
12/01/2023;MEN5013-KR-M;MEN5013;1;649.03;kurta
13/01/2023;J0202-TP-S;J0202;1;649.35;Top
14/01/2023;J0213-TP-S;J0213;1;584.35;Top
15/01/2023;SET098-KR-PP-M;SET098;1;779.35;Set
16/01/2023;SET098-KR-PP-L;SET098;1;779.35;Set
17/01/2023;SET098-KR-PP-XL;SET098;1;779.35;Set
18/01/2023;SET062-KR-SP-M;SET062;1;844.35;Set
19/01/2023;SET062-KR-SP-L;SET062;1;844.35;Set
20/01/2023;J0041-SET-M;J0041;1;876.85;Set
21/01/2023;J0041-SET-L;J0041;1;876.85;Set
22/01/2023;J0041-SET-XL;J0041;1;876.85;Set
23/01/2023;J0041-SET-XXL;J0041;1;876.85;Set
24/01/2023;SET182-KR-DH-L;SET182;1;779.35;Set
25/01/2023;SET182-KR-DH-XL;SET182;1;779.35;Set
26/01/2023;SET144-KR-NP-XXL;SET144;1;876.85;Set
27/01/2023;SET144-KR-NP-XXXL;SET144;1;876.85;Set
28/01/2023;SET110-KR-PP-XL;SET110;1;876.85;Set
29/01/2023;SET110-KR-PP-XXL;SET110;1;876.85;Set
30/01/2023;SET250-KR-SHA-M;SET250;1;844.35;Set
31/01/2023;SET073-KR-SHA-L;SET073;1;844.35;Set
01/02/2023;J0234-SKD-XXL;J0234;1;1201.85;Set
02/02/2023;J0007-SKD-XXL;J0007;1;1136.85;Set
03/02/2023;J0244-SKD-L;J0244;1;1234.35;Set
04/02/2023;J0244-SKD-XL;J0244;1;1234.35;Set
05/02/2023;J0246-SKD-M;J0246;1;1234.35;Set
06/02/2023;J0246-SKD-L;J0246;1;1234.35;Set
07/02/2023;J0284-SKD-XXL;J0284;1;1494.35;Set
08/02/2023;J0230-SKD-L;J0230;1;1364.35;Set
09/02/2023;J0230-SKD-XL;J0230;1;1364.35;Set
10/02/2023;J0011-LCD-L;J0011;1;1234.35;Set
11/02/2023;J0011-LCD-XL;J0011;1;1234.35;Set
12/02/2023;J0011-LCD-XXL;J0011;1;1234.35;Set
13/02/2023;SET238-KR-PP-L;SET238;1;649.35;Set
14/02/2023;SET227-KR-PP-L;SET227;1;779.35;Set
15/02/2023;SET228-KR-PP-L;SET228;1;779.35;Set
16/02/2023;SET229-KR-PP-L;SET229;1;941.85;Set
17/02/2023;SET234-KR-PP-L;SET234;1;574.0;Set
18/02/2023;SET235-KR-PP-L;SET235;1;583.33;Set
19/02/2023;SET206-KR-PP-L;SET206;1;993.75;Set
20/02/2023;SET240-KR-PP-L;SET240;1;714.35;Set
21/02/2023;J0137-SET-L;J0137;1;844.35;Set
22/02/2023;J0148-SET-L;J0148;1;876.85;Set
23/02/2023;SET210-KR-PP-L;SET210;1;779.35;Set
24/02/2023;SET241-KR-PP-L;SET241;1;500.0;Set
25/02/2023;SET225-KR-NP-L;SET225;1;811.85;Set
26/02/2023;SET233-KR-PP-L;SET233;1;779.35;Set
27/02/2023;J0211-DR-L;J0211;1;779.35;Ethnic Dress
28/02/2023;JNE3697-KR-L;JNE3697;1;454.35;kurta
01/03/2023;JNE3391-KR-L;JNE3391;1;616.85;kurta
02/03/2023;JNE3628-KR-L;JNE3628;1;486.85;kurta
03/03/2023;J0212-DR-L;J0212;1;746.85;Ethnic Dress
04/03/2023;SET100-KR-PP-L;SET100;1;1039.35;Set
05/03/2023;J0138-KR-L;J0138;1;649.35;kurta
06/03/2023;J0151-KR-L;J0151;1;714.35;kurta
07/03/2023;J0283-SET-L;J0283;1;1039.35;Set
08/03/2023;JNE3364-KR-1051-XL;JNE3364;1;421.85;kurta
09/03/2023;JNE3365-KR-1052-L;JNE3365;1;421.85;kurta
10/03/2023;J0037-KR-XXL;J0037;1;779.35;kurta
11/03/2023;J0037-KR-XXXL;J0037;1;779.35;kurta
12/03/2023;JNE3609-KR-L;JNE3609;1;551.85;kurta
13/03/2023;JNE3609-KR-XL;JNE3609;1;551.85;kurta
14/03/2023;J0177-KR-L;J0177;1;551.85;kurta
15/03/2023;J0177-KR-XL;J0177;1;551.85;kurta
16/03/2023;J0177-KR-XXXL;J0177;1;551.85;kurta
17/03/2023;J0104-KR-XL;J0104;1;584.35;kurta
18/03/2023;J0104-KR-XXL;J0104;1;584.35;kurta
19/03/2023;J0104-KR-XXXL;J0104;1;584.35;kurta
20/03/2023;JNE3256-KR-L;JNE3256;1;486.85;kurta
21/03/2023;JNE3256-KR-XL;JNE3256;1;486.85;kurta
22/03/2023;JNE3464-KR-XXL;JNE3464;1;519.35;kurta
23/03/2023;JNE3464-KR-XXXL;JNE3464;1;519.35;kurta
24/03/2023;J0033-KR-L;J0033;1;616.85;kurta
25/03/2023;J0033-KR-XXL;J0033;1;616.85;kurta
26/03/2023;JNE2049-KR-351-XXL;JNE2049;1;486.85;kurta
27/03/2023;JNE2049-KR-351-XXXL;JNE2049;1;486.85;kurta
28/03/2023;JNE3637-KR-L;JNE3637;1;649.35;kurta
29/03/2023;JNE3523-KR-M;JNE3523;1;519.35;kurta
30/03/2023;JNE3523-KR-L;JNE3523;1;519.35;kurta
31/03/2023;JNE3688-TU-M;JNE3688;1;486.85;Top
01/04/2023;JNE3688-TU-L;JNE3688;1;486.85;Top
02/04/2023;JNE3669-TU-L;JNE3669;1;486.85;Top
03/04/2023;JNE3669-TU-XL;JNE3669;1;486.85;Top
04/04/2023;JNE3679-TU-M;JNE3679;1;486.85;Top
05/04/2023;JNE3679-TU-L;JNE3679;1;486.85;Top
06/04/2023;JNE3679-TU-XL;JNE3679;1;486.85;Top
07/04/2023;JNE3674-TU-L;JNE3674;1;486.85;Top
08/04/2023;JNE3674-TU-XXL;JNE3674;1;486.85;Top
09/04/2023;JNE3672-TU-XL;JNE3672;1;486.85;Top
10/04/2023;JNE3672-TU-XXL;JNE3672;1;486.85;Top
11/04/2023;JNE3673-TU-XL;JNE3673;1;519.35;Top
12/04/2023;JNE3673-TU-XXL;JNE3673;1;519.35;Top
13/04/2023;JNE3651-TP-L;JNE3651;1;454.35;Top
14/04/2023;JNE3651-TP-XL;JNE3651;1;454.35;Top
15/04/2023;J0180-DR-L;J0180;1;714.35;Western Dress
16/04/2023;J0180-DR-XXL;J0180;1;714.35;Western Dress
17/04/2023;JNE3709-DR-XL;JNE3709;1;941.85;Western Dress
18/04/2023;JNE3709-DR-XXL;JNE3709;1;941.85;Western Dress
19/04/2023;J0243-DR-M;J0243;1;1039.35;Ethnic Dress
20/04/2023;J0243-DR-L;J0243;1;1039.35;Ethnic Dress
21/04/2023;J0093-DR-M;J0093;1;779.35;Ethnic Dress
22/04/2023;J0093-DR-L;J0093;1;779.35;Ethnic Dress
23/04/2023;J0093-DR-XXL;J0093;1;779.35;Ethnic Dress
24/04/2023;J0093-DR-XXXL;J0093;1;779.35;Ethnic Dress
25/04/2023;SET038-KR-PP-XXL;SET038;1;746.85;Set
26/04/2023;SET038-KR-PP-XXXL;SET038;1;746.85;Set
27/04/2023;SET187-KR-DH-M;SET187;1;746.85;Set
28/04/2023;J0023-TP-M;J0023;6;486.85;Top
29/04/2023;J0023-TP-L;J0023;6;486.85;Top
30/04/2023;J0023-TP-XL;J0023;6;486.85;Top
01/05/2023;JNE3672-TU-M;JNE3672;6;486.85;Top
02/05/2023;JNE3672-TU-L;JNE3672;6;486.85;Top
03/05/2023;JNE3672-TU-XL;JNE3672;6;486.85;Top
04/05/2023;JNE3674-TU-M;JNE3674;6;486.85;Top
05/05/2023;JNE3674-TU-L;JNE3674;6;486.85;Top
06/05/2023;JNE3674-TU-XL;JNE3674;6;486.85;Top
07/05/2023;JNE3673-TU-M;JNE3673;6;519.35;Top
08/05/2023;JNE3673-TU-L;JNE3673;6;519.35;Top
09/05/2023;JNE3673-TU-XL;JNE3673;6;519.35;Top
10/05/2023;JNE3676-TU-M;JNE3676;6;454.35;Top
11/05/2023;JNE3676-TU-L;JNE3676;6;454.35;Top
12/05/2023;JNE3676-TU-XL;JNE3676;6;454.35;Top
13/05/2023;JNE3686-TU-M;JNE3686;6;486.85;Top
14/05/2023;JNE3686-TU-L;JNE3686;6;486.85;Top
15/05/2023;JNE3686-TU-XL;JNE3686;6;486.85;Top
16/05/2023;J0196-TP-M;J0196;6;519.35;Top
17/05/2023;J0196-TP-L;J0196;6;519.35;Top
18/05/2023;J0196-TP-XL;J0196;6;519.35;Top
19/05/2023;J0197-TP-M;J0197;6;584.35;Top
20/05/2023;J0197-TP-L;J0197;6;584.35;Top
21/05/2023;J0197-TP-XL;J0197;6;584.35;Top
22/05/2023;J0201-TP-M;J0201;6;584.35;Top
23/05/2023;J0201-TP-L;J0201;6;584.35;Top
24/05/2023;J0201-TP-XL;J0201;6;584.35;Top
25/05/2023;J0202-TP-M;J0202;4;649.35;Top
26/05/2023;J0202-TP-L;J0202;4;649.35;Top
27/05/2023;J0202-TP-XL;J0202;4;649.35;Top
28/05/2023;J0204-TP-M;J0204;4;746.85;Top
29/05/2023;J0204-TP-L;J0204;4;746.85;Top
30/05/2023;J0204-TP-XL;J0204;4;746.85;Top
31/05/2023;J0213-TP-M;J0213;6;584.35;Top
01/06/2023;J0213-TP-L;J0213;6;584.35;Top
02/06/2023;J0213-TP-XL;J0213;6;584.35;Top
03/06/2023;J0129-SET-M;J0129;4;1104.35;Set
04/06/2023;J0129-SET-L;J0129;4;1104.35;Set
05/06/2023;J0129-SET-XL;J0129;4;1104.35;Set
06/06/2023;J0130-SET-M;J0130;4;974.35;Set
07/06/2023;J0130-SET-L.;J0130;4;974.35;Set
08/06/2023;J0130-SET-XL;J0130;4;974.35;Set
09/06/2023;J0098-TP-M;J0098;6;519.35;Top
10/06/2023;J0098-TP-L;J0098;6;519.35;Top
11/06/2023;J0098-TP-XL;J0098;6;519.35;Top
12/06/2023;JNE3405-KR-M;JNE3405;6;389.35;kurta
13/06/2023;JNE3405-KR-L;JNE3405;6;389.35;kurta
14/06/2023;JNE3405-KR-XL;JNE3405;6;389.35;kurta
15/06/2023;JNE2170-KR-436-M;JNE2170;6;551.85;kurta
16/06/2023;JNE2170-KR-436-L;JNE2170;6;551.85;kurta
17/06/2023;JNE2170-KR-436-XL;JNE2170;6;551.85;kurta
18/06/2023;JNE3609-KR-M;JNE3609;6;551.85;kurta
19/06/2023;JNE3609-KR-L;JNE3609;6;551.85;kurta
20/06/2023;JNE3609-KR-XL;JNE3609;6;551.85;kurta
21/06/2023;SET251-KR-PP-M;SET251;4;779.35;Set
22/06/2023;SET251-KR-PP-L;SET251;4;779.35;Set
23/06/2023;SET251-KR-PP-XL;SET251;4;779.35;Set
24/06/2023;SET098-KR-PP-M;SET098;4;779.35;Set
25/06/2023;SET098-KR-PP-L;SET098;4;779.35;Set
26/06/2023;SET098-KR-PP-XL;SET098;4;779.35;Set
27/06/2023;SET058-KR-NP-M;SET058;4;844.35;Set
28/06/2023;SET058-KR-NP-L;SET058;4;844.35;Set
29/06/2023;SET058-KR-NP-XL;SET058;4;844.35;Set
30/06/2023;SET188-KR-NP-M;SET188;4;844.35;Set
01/07/2023;SET188-KR-NP-L;SET188;4;844.35;Set
02/07/2023;SET188-KR-NP-XL;SET188;4;844.35;Set
03/07/2023;SET249-KR-NP-M;SET249;4;844.35;Set
04/07/2023;SET249-KR-NP-L;SET249;4;844.35;Set
05/07/2023;SET249-KR-NP-XL;SET249;4;844.35;Set
06/07/2023;SET043-KR-NP-M;SET043;4;974.35;Set
07/07/2023;SET043-KR-NP-L;SET043;4;974.35;Set
08/07/2023;SET043-KR-NP-XL;SET043;4;974.35;Set
09/07/2023;SET244-KR-NP-M;SET244;4;909.35;Set
10/07/2023;SET244-KR-NP-L;SET244;4;909.35;Set
11/07/2023;SET244-KR-NP-XL;SET244;4;909.35;Set
12/07/2023;SET182-KR-DH-M;SET182;4;779.35;Set
13/07/2023;SET182-KR-DH-L;SET182;4;779.35;Set
14/07/2023;SET182-KR-DH-XL;SET182;4;779.35;Set
15/07/2023;SET210-KR-PP-M;SET210;4;779.35;Set
16/07/2023;SET210-KR-PP-L;SET210;4;779.35;Set
17/07/2023;SET210-KR-PP-XL;SET210;4;779.35;Set
18/07/2023;SET226-KR-PP-M;SET226;4;779.35;Set
19/07/2023;SET226-KR-PP-L;SET226;4;779.35;Set
20/07/2023;SET226-KR-PP-XL;SET226;4;779.35;Set
21/07/2023;SET110-KR-PP-M;SET110;4;876.85;Set
22/07/2023;SET110-KR-PP-L;SET110;4;876.85;Set
23/07/2023;SET110-KR-PP-XL;SET110;4;876.85;Set
24/07/2023;SET186-KR-DH-M;SET186;4;876.85;Set
25/07/2023;SET186-KR-DH-L;SET186;4;876.85;Set
26/07/2023;SET186-KR-DH-XL;SET186;4;876.85;Set
27/07/2023;J0239-SKD-M;J0239;4;1364.35;Set
28/07/2023;J0239-SKD-L;J0239;4;1364.35;Set
29/07/2023;J0239-SKD-XL;J0239;4;1364.35;Set
30/07/2023;J0241-SKD-M;J0241;4;1299.35;Set
31/07/2023;J0241-SKD-L;J0241;4;1299.35;Set
